v1,v2,v3,v4,v5,v6,v7,crimerate,education,employment,finished_sq_ft,housing,last_sold_price,lot_size_sq_ft,price_appreciated,tax_assesment,use_code,weather,zest_amt,zest_high,zest_low,zest_value_change,zpid
10330,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5662,2,0,296000,-0.5,1,402034,422136,377912,4173,64709044
10331,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4587,2,0,243000,-0.5,1,280312,325162,232659,1151,54635890
10332,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5967,2,0,269000,-0.5,1,291857,323961,271427,2301,15352793
10333,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,-0.5,1.5,2560,2,0,233000,-0.5,1,341959,362477,321441,4193,94700427
10334,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4400,2,0,254114,-0.5,1,372304,398365,342520,2569,15374564
10335,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6420,2,0,250000,-0.5,1,288076,322645,259268,-7453,15374158
10336,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6568,2,0,181924,-0.5,1,277433,296853,263561,2189,15352886
10337,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5336,2,0,73947,-0.5,1,217657,239423,202421,-1245,15367188
10338,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5676,2,0,270010,-0.5,1,354641,372373,329816,7900,15376295
10339,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5662,2,0,287579,-0.5,1,342546,366524,325419,1008,15373435
10340,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5227,2,0,270300,-0.5,1,380721,403564,354071,7063,15371443
10341,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,9117,2,0,175000,-0.5,1,218920,256136,190460,314,15352907
10342,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6838,2,0,308999,-0.5,1,369282,395132,343432,9760,61340021
10343,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4356,2,0,169814,-0.5,1,312004,327604,293284,2700,15366221
10344,0,2,2,-0.5,Tracy,-1.5,1.5,-0.5,1,1.5,1.5,17424,2,0,367200,-0.5,1,556508,617724,506422,248,64685375
10345,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6557,2,0,301716,-0.5,1,390028,409529,358826,5894,63101932
10346,0,2,1.5,-0.5,TRACY,-1.5,1.5,-0.5,1,0.5,1.5,5950,2,0,247000,-0.5,1,295798,334252,272134,-5976,15370859
