id,version,address,bathroom,bedroom,city,finished_sq_ft,last_sold_date,last_sold_price,latitude,longitude,lot_size_sq_ft,state,tax_assesment,tax_assesment_year,total_room,use_code,year_built,zest_amt,zest_high,zest_low,zest_value_change,zipcode,zpid
1917,0,3594 Dickens Ct,2.5,3,Pleasanton,13153,5/24/2002,550000,37.695978,-121.875738,13153,CA,659801,2013,8,SingleFamily,1969,966879,1044229,870191,-7513,94588,25074616
1918,0,2751 Lotus St,2.5,3,Pleasanton,2738,8/22/2000,477000,37.692854,-121.856264,2738,CA,583544,2013,8,SingleFamily,2000,774191,820642,727740,7746,94588,25085655
1919,0,3604 Manchester St,3,5,Pleasanton,9945,5/17/1984,149500,37.697289,-121.868595,9945,CA,350057,2013,8,SingleFamily,1984,909927,964523,855331,-10357,94588,25075141
1920,0,3605 Chelsea Ct,2,4,Pleasanton,8994,4/7/1998,276000,37.696823,-121.87258,8994,CA,79243,2013,8,SingleFamily,1968,775662,822202,721366,1800,94588,25074618
1921,0,3605 Huff Ct,2,3,Pleasanton,4791,6/8/2010,600000,37.691946,-121.866453,4791,CA,628937,2013,7,SingleFamily,1996,687948,742984,626033,3470,94588,25075808
1922,0,3605 Kamp Dr,2.5,3,Pleasanton,5393,3/23/1995,252000,37.68322,-121.868381,5393,CA,430508,2013,6,SingleFamily,1986,828563,878277,770564,1373,94588,25083857
1923,0,3607 Cambridge Ct,2,3,Pleasanton,7171,6/20/2008,605000,37.697932,-121.871888,7171,CA,540000,2013,7,SingleFamily,1970,557667,619010,507477,3392,94588,25074669
1924,0,3610 Manchester St,2.5,4,Pleasanton,10144,0,0,37.697492,-121.868465,10144,CA,472409,2013,9,SingleFamily,1985,793788,849353,738223,-283,94588,25075140
1925,0,3611 Camelot Ct,2,3,Pleasanton,7480,1/15/1997,220000,37.698482,-121.8714,7480,CA,290570,2013,8,SingleFamily,1970,685799,740663,644651,-4903,94588,25074695
1926,0,3611 Cameron Ave,3,3,Pleasanton,37828,1/4/2000,979000,37.685375,-121.863033,37828,CA,1259998,2013,11,SingleFamily,1988,1753421,1963832,1560545,7742,94588,25085075
1927,0,3611 Diablo Ct,3,4,Pleasanton,27394,0,0,37.686394,-121.863653,27394,CA,897931,2013,10,SingleFamily,1989,1460883,1577754,1358621,2953,94588,25085079
