v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22
4677,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7187,2,310235,-0.5,1,811717,892889,771131,8185,19688719
4678,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,2,125760,-0.5,1,451037,487120,419464,11514,19780774
4679,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,2,609000,-0.5,1,876860,947009,789174,13040,19775996
4680,0,2,0,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6269,2,585000,-0.5,1,650054,708559,604550,-4019,19589183
4681,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,1,2,9126,2,680313,-0.5,1,929448,994509,873681,-4987,19692131
4682,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,2,423000,-0.5,1,585800,615090,538936,7698,19840387
4683,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,1.5,2,21431,2,453604,-0.5,1,2026941,2310713,1763439,17440,19575150
4684,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6300,2,539844,-0.5,1,651617,703746,606004,11127,19769764
4685,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,2,764486,-0.5,1,1292559,1383038,1163303,13075,19641271
4686,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6534,2,566000,-0.5,1,686384,720703,645201,4351,19831444
4687,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5009,2,326000,-0.5,1,472400,510192,434608,4998,19719901
4688,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,0,2,4356,2,473000,-0.5,1,646437,691688,607651,7519,64581841
4689,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,1,2,8100,2,144427,2,1,1266986,1431694,1127618,21818,82961159
4690,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0,2,4791,2,270000,-0.5,1,419347,452895,385799,-5936,19815054
4691,0,2,0,-0.5,sanjose,-2,0.5,-0.5,1,-0.5,2,3484,2,164428,0.5,1,275147,308165,236626,3233,19724608
4692,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,335000,0.5,1,466907,490252,443562,-348,19841564
4693,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,317000,0.5,1,441832,477179,410904,257,69303084
4694,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1760,-2,95090,-0.5,1,386488,429002,355569,1139,19806951
4695,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,322000,-0.5,1,402686,434901,366444,2545,19561547
4696,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1344,2,303908,1,1,487455,516702,448459,1704,19609144
4697,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,463000,1,1,525091,588102,462080,6897,63065747
4698,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1045,2,200000,0.5,1,321091,346778,285771,-767,19842055
4699,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1306,2,202052,0.5,1,425755,464073,383180,-1589,19606504
4700,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,236000,0.5,1,394125,417773,362595,4402,19777669
4701,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-0.5,2,3920,-2,35645,2,1,468719,520278,421847,4121,19710432
4702,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6120,2,838000,-0.5,1,1191328,1310461,1060282,-11229,19643042
4703,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5227,2,280000,-0.5,1,463269,486432,430840,6790,19780962
4704,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5749,-2,0,2,1,802790,923208,690399,104214,2115637101
4705,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,1,2,12632,2,880000,2,1,1316597,1448257,1198103,10942,19765153
4706,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5662,-2,66362,-0.5,1,578887,625198,538365,9561,19827698
4707,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7405,2,223835,-0.5,1,394061,429526,358596,6438,19730129
4708,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5749,2,436836,-0.5,1,570371,684445,422075,-8463,19582215
4709,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,-0.5,2,3049,2,613000,-0.5,1,793633,849187,753951,-7727,19563948
4710,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0,2,4356,2,354000,-0.5,1,432943,471908,393978,4204,19724303
4711,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,1,2,14200,-2,543616,-0.5,1,1255028,1393081,1091874,-15410,19797556
4712,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5662,2,215000,-0.5,1,381860,416227,351311,-7964,19717865
4713,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1917,2,314810,-0.5,1,467640,505051,434905,4217,19841574
4714,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,2,406000,-0.5,1,581182,610241,540499,8619,19841306
4715,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,-0.5,2,3049,2,467728,0.5,1,782280,837040,727520,3111,19768055
4716,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-2,2,871,2,112000,0.5,1,203457,231941,172938,935,19737001
4717,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7797,2,725635,-0.5,1,930277,976791,874460,8715,19676889
4718,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,2,379000,-0.5,1,677515,731716,630089,889,19758952
4719,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,871,2,301410,0.5,1,466469,494457,429151,921,19769164
4720,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,1,2,11325,2,353000,-0.5,1,606140,660693,557649,-24440,59683571
4721,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7840,-2,60833,-0.5,1,883325,962824,821492,-21229,19685320
4722,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1481,2,489000,0.5,1,666721,713391,626718,5706,64505694
4723,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,1,2,8407,-2,62857,-0.5,1,833288,891618,766625,-27978,19683873
4724,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,-2,84390,-0.5,1,582740,623532,547776,-1397,19713065
4725,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,1,2,14300,2,971117,-0.5,1,1533268,1686595,1318610,78179,19765815
4726,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,354000,0.5,1,473770,521147,426393,12650,19563630
4727,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-2,2,871,-2,0,0.5,1,124222,135402,104346,27849,2111370221
4728,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6534,2,515000,-0.5,1,743587,788202,698972,18790,19777152
4729,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,0,-2,0,-0.5,1,527799,580579,485575,-78356,2121078082
4730,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,2,2,27007,2,476907,-0.5,1,918880,1029146,753482,65876,19784060
4731,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1393,2,469000,0.5,1,637941,682597,606044,-2084,19563066
4732,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,1.5,2,21780,2,483329,-0.5,1,777711,878813,699940,79043,19779563
4733,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6270,2,380528,-0.5,1,631898,676131,593984,11325,19838207
4734,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7971,2,962000,-0.5,1,1327005,1406625,1260655,-18892,19835084
4735,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6534,2,630000,-0.5,1,958358,1006276,891273,19410,19685315
4736,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,2,561000,-0.5,1,674534,748733,640807,25909,19697866
4737,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0,2,4050,2,385000,-0.5,1,525309,551574,493790,4747,19802646
4738,0,2,0.5,-1.5,sanjose,-2,0.5,-0.5,1,-2,2,871,2,338000,0.5,1,452692,529650,393842,8058,63065234
4739,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,1,2,11325,2,473966,-0.5,1,693997,742577,631537,8523,19781847
4740,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6011,2,322000,-0.5,1,476351,504932,433479,18702,19787210
4741,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5995,2,497000,-0.5,1,729786,780871,678701,-1781,19822775
4742,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6316,-2,0,-0.5,1,1003015,1073226,932804,0,2108487365
4743,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5662,2,320000,-0.5,1,442940,482805,411934,576,19728770
4744,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,0,2,4356,2,233580,-0.5,1,385605,428022,354757,-3597,19567157
4745,0,2,1,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,430000,0.5,1,573003,607383,544353,5727,64509185
4746,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7579,2,541046,-0.5,1,907986,980625,835347,874,19583044
