id,version,address,bathroom,bedroom,city,finished_sq_ft,last_sold_date,last_sold_price,latitude,longitude,lot_size_sq_ft,state,tax_assesment,tax_assesment_year,total_room,use_code,year_built,zest_amt,zest_high,zest_low,zest_value_change,zipcode,zpid
4580,0,3731 Boswell Ter,1.5,3,Fremont,838,2/25/2014,435000,37.554707,-121.995472,838,CA,249554,2013,6,Condominium,1976,392989,428358,361550,14201,94536,25012694
4581,0,32744 Shaver Lake St,2.5,4,Fremont,5420,2/25/2014,805000,37.588987,-122.055759,5420,CA,627000,2013,7,SingleFamily,1977,730236,788655,657212,1818,94555,25049282
4582,0,38114 Martha Ave,2,2,Fremont,5100,2/25/2014,545000,37.560091,-121.99169,5100,CA,72673,2013,5,SingleFamily,1973,533281,565278,495951,3002,94536,25012277
4583,0,4857 Porter St,2,4,Fremont,5793,2/25/2014,636000,37.528587,-121.980773,5793,CA,456000,2013,7,SingleFamily,1968,577978,624216,543299,2388,94538,25037241
4584,0,47442 Mantis St,2,4,Fremont,6011,2/25/2014,930000,37.484969,-121.916458,6011,CA,167959,2013,8,SingleFamily,1969,824446,898646,750246,204,94539,25025652
4585,0,5207 Reeder Ct,3,4,Fremont,11384,2/25/2014,871000,37.538594,-122.009192,11384,CA,684000,2013,10,SingleFamily,1960,831225,889411,773039,4910,94536,25009108
4586,0,4428 Amador Rd,2,4,Fremont,6002,2/21/2014,580000,37.540833,-121.988925,6002,CA,497000,2013,7,SingleFamily,1961,617491,660715,580442,10534,94538,25009961
4587,0,39 Gazania Ter,2.5,3,Fremont,1551,2/21/2014,536500,37.567743,-121.964798,1551,CA,513920,2013,5,SingleFamily,1991,563319,602751,529520,-7208,94536,25018412
4588,0,3106 Estero Ter,3.5,4,Fremont,2162,2/21/2014,765000,37.537271,-121.954689,2162,CA,653106,2013,8,SingleFamily,2011,717812,796771,653209,21135,94538,115828434
4589,0,33496 Caliban Dr,2.5,4,Fremont,7339,2/21/2014,854000,37.576245,-122.056622,7339,CA,229281,2013,0,SingleFamily,1980,795624,867230,747887,-6923,94555,25052009
4590,0,1014 Barry Way,2,4,Fremont,6500,4/3/2006,820000,37.563949,-121.976346,6500,CA,611757,2013,8,SingleFamily,1964,771357,809925,717362,8810,94536,25017187
4591,0,4801 Seneca Park Ave,2.5,4,Fremont,7888,7/19/2013,651000,37.516207,-121.967527,7888,CA,461220,2013,6,SingleFamily,1961,660884,693928,608013,594,94538,25039816
