v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23
118,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2147,2,45732,-0.5,0,532430,575024,484511,4290,15190910,0
119,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2625,2,467860,-0.5,0,649403,779284,577969,-19240,15192010,0
120,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,400392,-0.5,0,826583,934039,694330,-9940,15137001,0
121,0,2,0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3297,2,83829,-0.5,0,885363,1027021,761412,28193,15129013,0
122,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2500,2,364000,-0.5,0,461998,568258,388078,-27373,15158866,0
123,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,1466180,0.5,0,1669261,1886265,1418872,-13229,114316522,0
124,0,2,1.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,137920,2,0,1029033,1162807,874678,-120808,15150916,0
125,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3000,2,739500,-0.5,0,894787,1073744,751621,49844,15093470,0
126,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,652734,0.5,0,1144599,1373519,812665,84438,69819013,0
127,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2548,2,805800,-0.5,0,1077779,1164001,980779,33676,15101655,0
128,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,0.5,2,5749,2,1534387,-0.5,0,2562775,3049702,2075848,14434,15135252,0
129,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3125,2,1736980,-0.5,0,2595973,3037288,2128698,78012,15130449,0
130,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1742,2,888501,-0.5,0,1101706,1277979,969501,-8668,15184358,0
131,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1746,2,795734,-0.5,0,850386,1020463,697317,6132,15161879,0
132,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2522,2,690263,-0.5,0,1285031,1464935,1182229,-19639,15134314,0
133,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3646,2,1020000,0.5,0,2037722,2710170,1283765,-38428,15082432,0
134,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,449867,-0.5,0,485838,544139,451829,9186,15173026,0
135,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3000,2,214559,-0.5,0,858024,935246,772222,9454,15117980,0
136,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2996,2,71627,-0.5,0,810402,915754,680738,-27096,15096226,0
137,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-1.5,2,1873,2,117815,-0.5,0,582368,640605,524131,1906,15193582,0
138,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2500,2,750000,-0.5,0,1137781,1297070,1001247,45475,15137752,0
139,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,0,2,4617,2,674732,-0.5,0,1054421,1318026,769727,116250,15085888,0
140,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2940,2,635072,0.5,0,817292,907194,727390,24895,53153470,0
141,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,1037748,0.5,0,1291379,1446344,1136414,-14666,82786404,0
